feature_set,model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct_20_40,avg_time,median_time
BRTI,RF,BRTI_SAFE_LAG,0.75,2,100.0,13.333333333333334,42.50000000000001,42.50000000000001,50.0,9.544317441666667,9.544317441666667
BRTI,RF,BRTI_SAFE_LAG,0.8,0,,0.0,,,,,
BRTI,RF,BRTI_SAFE_LAG,0.85,0,,0.0,,,,,
BRTI,RF,BRTI_SAFE_LAG,0.9,0,,0.0,,,,,
BRTI,HGB,OPEN,0.6,8,37.5,53.333333333333336,34.0,35.5,75.0,9.134144458333335,9.661965391666666
BRTI,HGB,OPEN,0.65,7,42.857142857142854,46.666666666666664,35.85714285714286,38.0,71.42857142857143,9.177469676190478,9.615036183333332
BRTI,HGB,OPEN,0.7,6,50.0,40.0,36.5,38.5,66.66666666666666,8.782767552777777,9.661965391666666
BRTI,HGB,OPEN,0.75,5,60.0,33.333333333333336,37.2,39.0,60.0,8.888503923333333,9.565937583333334
BRTI,HGB,OPEN,0.8,3,33.33333333333333,20.0,25.0,20.0,33.33333333333333,7.72905918888889,7.542187433333334
BRTI,HGB,OPEN,0.85,2,50.0,13.333333333333334,27.500000000000004,27.500000000000004,0.0,8.554062508333335,8.554062508333335
BRTI,HGB,OPEN,0.9,2,50.0,13.333333333333334,24.5,24.5,50.0,7.678918675,7.678918675
BRTI,HGB,BRTI,0.6,4,75.0,26.666666666666668,41.75,41.0,50.0,8.986624670833333,9.548708166666666
BRTI,HGB,BRTI,0.65,4,75.0,26.666666666666668,41.75,41.0,50.0,8.945065858333333,9.477989425
BRTI,HGB,BRTI,0.7,4,75.0,26.666666666666668,41.75,41.0,50.0,8.945065858333333,9.477989425
BRTI,HGB,BRTI,0.75,3,66.66666666666666,20.0,42.66666666666667,43.0,33.33333333333333,9.523671677777777,9.48238015
