ticker,target_brti,final_brti,result,target_cb_close,target_cb_ohlc4,target_cb_hl2,final_cb_close,final_cb_ohlc4,final_cb_hl2,target_err_close,final_err_close,target_err_ohlc4,final_err_ohlc4,target_err_hl2,final_err_hl2
KXBTC15M-26AUG160630-30,62921.93,62942.11,yes,62914.0,62918.229999999996,62918.229999999996,62941.33,62941.405,62941.785,-7.930000000000291,-0.7799999999988358,-3.7000000000043656,-0.7050000000017462,-3.7000000000043656,-0.3249999999970896
KXBTC15M-26AUG160645-45,62942.11,62941.51,no,62941.33,62941.405,62941.785,62939.17,62939.1725,62939.175,-0.7799999999988358,-2.3400000000037835,-0.7050000000017462,-2.337500000001455,-0.3249999999970896,-2.334999999999127
KXBTC15M-26AUG160700-00,62941.51,62939.59,no,62939.17,62939.1725,62939.175,62940.19,62938.295,62938.295,-2.3400000000037835,0.6000000000058208,-2.337500000001455,-1.2949999999982538,-2.334999999999127,-1.2949999999982538
KXBTC15M-26AUG160715-15,62939.59,62940.25,yes,62940.19,62938.295,62938.295,62932.62,62934.39,62934.035,0.6000000000058208,-7.629999999997381,-1.2949999999982538,-5.860000000000582,-1.2949999999982538,-6.2149999999965075
KXBTC15M-26AUG160730-30,62940.25,62920.65,no,62932.62,62934.39,62934.035,62915.75,62917.4975,62917.5,-7.629999999997381,-4.900000000001455,-5.860000000000582,-3.1525000000037835,-6.2149999999965075,-3.150000000001455
KXBTC15M-26AUG160745-45,62920.65,62925.79,yes,62915.75,62917.4975,62917.5,62925.61,62927.2525,62927.25,-4.900000000001455,-0.18000000000029104,-3.1525000000037835,1.4625000000014552,-3.150000000001455,1.4599999999991269
KXBTC15M-26AUG160800-00,62925.79,62938.46,yes,62925.61,62927.2525,62927.25,62945.33,62942.270000000004,62942.265,-0.18000000000029104,6.870000000002619,1.4625000000014552,3.8100000000049477,1.4599999999991269,3.805000000000291
KXBTC15M-26AUG160815-15,62938.46,62950.27,yes,62945.33,62942.270000000004,62942.265,62943.29,62948.6825,62948.955,6.870000000002619,-6.9799999999959255,3.8100000000049477,-1.5874999999941792,3.805000000000291,-1.3149999999950523
KXBTC15M-26AUG160830-30,62950.27,62948.69,no,62943.29,62948.6825,62948.955,62944.44,62944.2175,62944.22,-6.9799999999959255,-4.25,-1.5874999999941792,-4.4725000000034925,-1.3149999999950523,-4.470000000001164
KXBTC15M-26AUG160845-45,62948.69,62929.17,no,62944.44,62944.2175,62944.22,62925.24,62927.4225,62929.61,-4.25,-3.930000000000291,-4.4725000000034925,-1.7474999999976717,-4.470000000001164,0.4400000000023283
KXBTC15M-26AUG160900-00,62929.17,62945.31,yes,62925.24,62927.4225,62929.61,62948.0,62947.994999999995,62947.994999999995,-3.930000000000291,2.6900000000023283,-1.7474999999976717,2.6849999999976717,0.4400000000023283,2.6849999999976717
KXBTC15M-26AUG160915-15,62945.31,62992.76,yes,62948.0,62947.994999999995,62947.994999999995,62999.13,62999.1275,62999.125,2.6900000000023283,6.369999999995343,2.6849999999976717,6.367500000000291,2.6849999999976717,6.364999999997963
KXBTC15M-26AUG160930-30,62992.76,62995.31,yes,62999.13,62999.1275,62999.125,62999.99,62999.5,62999.5,6.369999999995343,4.680000000000291,6.367500000000291,4.190000000002328,6.364999999997963,4.190000000002328
KXBTC15M-26AUG160945-45,62995.31,62996.49,yes,62999.99,62999.5,62999.5,62994.01,62994.005000000005,62994.005000000005,4.680000000000291,-2.4799999999959255,4.190000000002328,-2.484999999993306,4.190000000002328,-2.484999999993306
KXBTC15M-26AUG161000-00,62996.49,62994.94,no,62994.01,62994.005000000005,62994.005000000005,62993.63,62993.332500000004,62993.545,-2.4799999999959255,-1.3100000000049477,-2.484999999993306,-1.6074999999982538,-2.484999999993306,-1.3950000000040745
KXBTC15M-26AUG161015-15,62994.94,62994.98,yes,62993.63,62993.332500000004,62993.545,62994.42,62994.71000000001,62995.240000000005,-1.3100000000049477,-0.5600000000049477,-1.6074999999982538,-0.2699999999967986,-1.3950000000040745,0.26000000000203727
