contract,candle_end_utc,yes_ask,yes_bid,no_ask
KXBTC15M-26AUG202345-45,2026-08-21 03:39:00+00:00,0.25,0.24,0.76
KXBTC15M-26AUG202345-45,2026-08-21 03:40:00+00:00,0.17,0.16,0.84
KXBTC15M-26AUG202345-45,2026-08-21 03:41:00+00:00,0.22,0.21,0.79
KXBTC15M-26AUG202345-45,2026-08-21 03:42:00+00:00,0.4,0.39,0.61
KXBTC15M-26AUG202345-45,2026-08-21 03:43:00+00:00,0.85,0.84,0.16
KXBTC15M-26AUG202345-45,2026-08-21 03:44:00+00:00,0.943,0.932,0.0679999999999999
KXBTC15M-26AUG202345-45,2026-08-21 03:45:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210000-00,2026-08-21 03:46:00+00:00,0.59,0.58,0.42
KXBTC15M-26AUG210000-00,2026-08-21 03:47:00+00:00,0.66,0.65,0.35
KXBTC15M-26AUG210000-00,2026-08-21 03:48:00+00:00,0.78,0.77,0.2299999999999999
KXBTC15M-26AUG210000-00,2026-08-21 03:49:00+00:00,0.79,0.78,0.2199999999999999
KXBTC15M-26AUG210000-00,2026-08-21 03:50:00+00:00,0.79,0.78,0.2199999999999999
KXBTC15M-26AUG210000-00,2026-08-21 03:51:00+00:00,0.85,0.84,0.16
KXBTC15M-26AUG210000-00,2026-08-21 03:52:00+00:00,0.89,0.88,0.12
KXBTC15M-26AUG210000-00,2026-08-21 03:53:00+00:00,0.76,0.75,0.25
KXBTC15M-26AUG210000-00,2026-08-21 03:54:00+00:00,0.81,0.8,0.1999999999999999
KXBTC15M-26AUG210000-00,2026-08-21 03:55:00+00:00,0.51,0.5,0.5
KXBTC15M-26AUG210000-00,2026-08-21 03:56:00+00:00,0.52,0.51,0.49
KXBTC15M-26AUG210000-00,2026-08-21 03:57:00+00:00,0.42,0.41,0.5900000000000001
KXBTC15M-26AUG210000-00,2026-08-21 03:58:00+00:00,0.3,0.29,0.71
KXBTC15M-26AUG210000-00,2026-08-21 03:59:00+00:00,0.005,0.004,0.996
KXBTC15M-26AUG210000-00,2026-08-21 04:00:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG210015-15,2026-08-21 04:01:00+00:00,0.62,0.61,0.39
KXBTC15M-26AUG210015-15,2026-08-21 04:02:00+00:00,0.63,0.62,0.38
KXBTC15M-26AUG210015-15,2026-08-21 04:03:00+00:00,0.89,0.88,0.12
KXBTC15M-26AUG210015-15,2026-08-21 04:04:00+00:00,0.89,0.88,0.12
KXBTC15M-26AUG210015-15,2026-08-21 04:05:00+00:00,0.89,0.88,0.12
KXBTC15M-26AUG210015-15,2026-08-21 04:06:00+00:00,0.85,0.84,0.16
KXBTC15M-26AUG210015-15,2026-08-21 04:07:00+00:00,0.88,0.87,0.13
KXBTC15M-26AUG210015-15,2026-08-21 04:08:00+00:00,0.938,0.937,0.0629999999999999
KXBTC15M-26AUG210015-15,2026-08-21 04:09:00+00:00,0.978,0.977,0.023
KXBTC15M-26AUG210015-15,2026-08-21 04:10:00+00:00,0.984,0.983,0.017
KXBTC15M-26AUG210015-15,2026-08-21 04:11:00+00:00,0.988,0.987,0.013
KXBTC15M-26AUG210015-15,2026-08-21 04:12:00+00:00,0.99,0.989,0.011
KXBTC15M-26AUG210015-15,2026-08-21 04:13:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210015-15,2026-08-21 04:14:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210015-15,2026-08-21 04:15:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210030-30,2026-08-21 04:16:00+00:00,0.62,0.61,0.39
