fair_min,max_time_left,early_boundary,early_gap,late_gap,min_support,min_dist_range,calls,contracts,coverage,accuracy,avg_time_left,median_time_left,pct_calls_5plus_min_left,avg_gap,avg_fair,validation_rank
0.9,8.0,6.0,90.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.852941176470588,7.0,0.7058823529411765,236.09735294117704,0.9129109593368698,1972
0.9,8.0,6.0,100.0,50.0,0,0.5,68,99,0.6868686868686869,0.9411764705882353,5.823529411764706,6.5,0.7058823529411765,236.71132352941234,0.912964236693122,1973
0.9,9.0,6.0,150.0,50.0,3,0.0,68,99,0.6868686868686869,0.9411764705882353,5.735294117647059,6.0,0.7058823529411765,226.09161764705897,0.9121974850625589,1974
0.92,10.0,6.0,75.0,50.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1975
0.92,10.0,6.0,75.0,50.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1976
0.92,10.0,6.0,75.0,75.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1977
0.92,10.0,6.0,75.0,75.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1978
0.92,10.0,6.0,75.0,100.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1979
0.92,10.0,6.0,75.0,100.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1980
0.92,10.0,6.0,90.0,50.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1981
0.92,10.0,6.0,90.0,50.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1982
0.92,10.0,6.0,90.0,75.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1983
0.92,10.0,6.0,90.0,75.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1984
0.92,10.0,6.0,90.0,100.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1985
0.92,10.0,6.0,90.0,100.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1986
0.92,10.0,6.0,100.0,50.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1987
0.92,10.0,6.0,100.0,50.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1988
0.92,10.0,6.0,100.0,75.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1989
0.92,10.0,6.0,100.0,75.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1990
0.92,10.0,6.0,100.0,100.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1991
0.92,10.0,6.0,100.0,100.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1992
0.92,10.0,6.0,110.0,50.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1993
0.92,10.0,6.0,110.0,50.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1994
0.92,10.0,6.0,110.0,75.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1995
0.92,10.0,6.0,110.0,75.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1996
0.92,10.0,6.0,110.0,100.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1997
0.92,10.0,6.0,110.0,100.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1998
0.92,10.0,7.0,75.0,50.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,1999
0.92,10.0,7.0,75.0,50.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2000
0.92,10.0,7.0,75.0,75.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2001
0.92,10.0,7.0,75.0,75.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2002
0.92,10.0,7.0,75.0,100.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2003
0.92,10.0,7.0,75.0,100.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2004
0.92,10.0,7.0,90.0,50.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2005
0.92,10.0,7.0,90.0,50.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2006
0.92,10.0,7.0,90.0,75.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2007
0.92,10.0,7.0,90.0,75.0,0,0.5,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2008
0.92,10.0,7.0,90.0,100.0,0,0.0,34,99,0.3434343434343434,0.9411764705882353,6.382352941176471,7.0,0.8529411764705882,261.0173529411755,0.9204938545336631,2009
