minute,distance_threshold,fair_mode,fair_threshold,warned,misses_caught,total_misses,good_flagged,kept,kept_accuracy,rule,catch_all,capture_rate
2,10,OR,0.075,19,2,2,17,13,1.0,2m dist_gain < +$10 OR fair_gain < 0.075,True,1.0
2,15,OR,0.075,19,2,2,17,13,1.0,2m dist_gain < +$15 OR fair_gain < 0.075,True,1.0
2,20,OR,0.075,19,2,2,17,13,1.0,2m dist_gain < +$20 OR fair_gain < 0.075,True,1.0
2,25,OR,0.075,19,2,2,17,13,1.0,2m dist_gain < +$25 OR fair_gain < 0.075,True,1.0
2,30,OR,0.05,19,2,2,17,13,1.0,2m dist_gain < +$30 OR fair_gain < 0.050,True,1.0
3,25,OR,0.1,19,2,2,17,13,1.0,3m dist_gain < +$25 OR fair_gain < 0.100,True,1.0
3,30,OR,0.075,19,2,2,17,13,1.0,3m dist_gain < +$30 OR fair_gain < 0.075,True,1.0
4,25,OR,0.025,19,2,2,17,13,1.0,4m dist_gain < +$25 OR fair_gain < 0.025,True,1.0
4,25,OR,0.05,19,2,2,17,13,1.0,4m dist_gain < +$25 OR fair_gain < 0.050,True,1.0
4,30,NONE,,19,2,2,17,13,1.0,4m distance_gain < +$30,True,1.0
4,30,OR,0.0,19,2,2,17,13,1.0,4m dist_gain < +$30 OR fair_gain < 0.000,True,1.0
5,15,OR,0.075,19,2,2,17,13,1.0,5m dist_gain < +$15 OR fair_gain < 0.075,True,1.0
5,20,OR,0.075,19,2,2,17,13,1.0,5m dist_gain < +$20 OR fair_gain < 0.075,True,1.0
5,25,OR,0.075,19,2,2,17,13,1.0,5m dist_gain < +$25 OR fair_gain < 0.075,True,1.0
5,30,OR,0.075,19,2,2,17,13,1.0,5m dist_gain < +$30 OR fair_gain < 0.075,True,1.0
6,30,OR,0.075,19,2,2,17,13,1.0,6m dist_gain < +$30 OR fair_gain < 0.075,True,1.0
6,30,OR,0.1,19,2,2,17,13,1.0,6m dist_gain < +$30 OR fair_gain < 0.100,True,1.0
2,10,OR,0.1,20,2,2,18,12,1.0,2m dist_gain < +$10 OR fair_gain < 0.100,True,1.0
2,15,OR,0.1,20,2,2,18,12,1.0,2m dist_gain < +$15 OR fair_gain < 0.100,True,1.0
2,20,OR,0.1,20,2,2,18,12,1.0,2m dist_gain < +$20 OR fair_gain < 0.100,True,1.0
2,25,OR,0.1,20,2,2,18,12,1.0,2m dist_gain < +$25 OR fair_gain < 0.100,True,1.0
2,30,OR,0.075,20,2,2,18,12,1.0,2m dist_gain < +$30 OR fair_gain < 0.075,True,1.0
3,30,OR,0.1,20,2,2,18,12,1.0,3m dist_gain < +$30 OR fair_gain < 0.100,True,1.0
4,20,OR,0.1,20,2,2,18,12,1.0,4m dist_gain < +$20 OR fair_gain < 0.100,True,1.0
4,25,OR,0.075,20,2,2,18,12,1.0,4m dist_gain < +$25 OR fair_gain < 0.075,True,1.0
4,30,OR,0.025,20,2,2,18,12,1.0,4m dist_gain < +$30 OR fair_gain < 0.025,True,1.0
4,30,OR,0.05,20,2,2,18,12,1.0,4m dist_gain < +$30 OR fair_gain < 0.050,True,1.0
5,15,OR,0.1,20,2,2,18,12,1.0,5m dist_gain < +$15 OR fair_gain < 0.100,True,1.0
5,20,OR,0.1,20,2,2,18,12,1.0,5m dist_gain < +$20 OR fair_gain < 0.100,True,1.0
5,25,OR,0.1,20,2,2,18,12,1.0,5m dist_gain < +$25 OR fair_gain < 0.100,True,1.0
5,30,OR,0.1,20,2,2,18,12,1.0,5m dist_gain < +$30 OR fair_gain < 0.100,True,1.0
2,30,OR,0.1,21,2,2,19,11,1.0,2m dist_gain < +$30 OR fair_gain < 0.100,True,1.0
4,30,OR,0.075,21,2,2,19,11,1.0,4m dist_gain < +$30 OR fair_gain < 0.075,True,1.0
4,25,OR,0.1,22,2,2,20,10,1.0,4m dist_gain < +$25 OR fair_gain < 0.100,True,1.0
4,30,OR,0.1,23,2,2,21,9,1.0,4m dist_gain < +$30 OR fair_gain < 0.100,True,1.0
2,10,AND,0.0,4,1,2,3,28,0.9642857142857143,2m dist_gain < +$10 AND fair_gain < 0.000,False,0.5
2,15,AND,0.0,4,1,2,3,28,0.9642857142857143,2m dist_gain < +$15 AND fair_gain < 0.000,False,0.5
2,20,AND,0.0,4,1,2,3,28,0.9642857142857143,2m dist_gain < +$20 AND fair_gain < 0.000,False,0.5
2,25,AND,0.0,4,1,2,3,28,0.9642857142857143,2m dist_gain < +$25 AND fair_gain < 0.000,False,0.5
2,30,AND,0.0,4,1,2,3,28,0.9642857142857143,2m dist_gain < +$30 AND fair_gain < 0.000,False,0.5
3,10,AND,0.0,4,1,2,3,28,0.9642857142857143,3m dist_gain < +$10 AND fair_gain < 0.000,False,0.5
3,15,AND,0.0,4,1,2,3,28,0.9642857142857143,3m dist_gain < +$15 AND fair_gain < 0.000,False,0.5
3,20,AND,0.0,4,1,2,3,28,0.9642857142857143,3m dist_gain < +$20 AND fair_gain < 0.000,False,0.5
3,25,AND,0.0,4,1,2,3,28,0.9642857142857143,3m dist_gain < +$25 AND fair_gain < 0.000,False,0.5
3,30,AND,0.0,4,1,2,3,28,0.9642857142857143,3m dist_gain < +$30 AND fair_gain < 0.000,False,0.5
3,10,AND,0.025,5,1,2,4,27,0.9629629629629629,3m dist_gain < +$10 AND fair_gain < 0.025,False,0.5
3,15,AND,0.025,5,1,2,4,27,0.9629629629629629,3m dist_gain < +$15 AND fair_gain < 0.025,False,0.5
3,20,AND,0.025,5,1,2,4,27,0.9629629629629629,3m dist_gain < +$20 AND fair_gain < 0.025,False,0.5
3,25,AND,0.025,5,1,2,4,27,0.9629629629629629,3m dist_gain < +$25 AND fair_gain < 0.025,False,0.5
3,30,AND,0.025,5,1,2,4,27,0.9629629629629629,3m dist_gain < +$30 AND fair_gain < 0.025,False,0.5
3,10,AND,0.05,7,1,2,6,25,0.96,3m dist_gain < +$10 AND fair_gain < 0.050,False,0.5
3,15,AND,0.05,7,1,2,6,25,0.96,3m dist_gain < +$15 AND fair_gain < 0.050,False,0.5
3,20,AND,0.05,7,1,2,6,25,0.96,3m dist_gain < +$20 AND fair_gain < 0.050,False,0.5
3,25,AND,0.05,7,1,2,6,25,0.96,3m dist_gain < +$25 AND fair_gain < 0.050,False,0.5
