ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,calls,contracts,coverage,accuracy,avg_ask,avg_time_left,meets90,validation_rank
0.6,0.7,0.12,8.0,10.0,75.0,0.0,14,83,0.1686746987951807,0.9285714285714286,0.5357142857142857,9.285714285714286,True,140
0.6,0.75,0.05,4.0,10.0,75.0,0.0,14,83,0.1686746987951807,0.9285714285714286,0.5357142857142857,8.5,True,141
0.6,0.75,0.08,4.0,10.0,75.0,0.0,14,83,0.1686746987951807,0.9285714285714286,0.5357142857142857,8.5,True,142
0.6,0.75,0.1,4.0,10.0,75.0,0.0,14,83,0.1686746987951807,0.9285714285714286,0.5357142857142857,8.5,True,143
0.6,0.75,0.12,4.0,10.0,75.0,0.0,14,83,0.1686746987951807,0.9285714285714286,0.5357142857142857,8.5,True,144
0.55,0.6,0.05,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,145
0.55,0.6,0.08,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,146
0.55,0.6,0.1,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,147
0.55,0.6,0.12,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,148
0.55,0.65,0.05,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,149
0.55,0.65,0.08,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,150
0.55,0.65,0.1,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,151
0.55,0.65,0.12,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,152
0.55,0.7,0.05,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,153
0.55,0.7,0.08,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,154
0.55,0.7,0.1,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,155
0.55,0.7,0.12,6.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5053846153846153,9.76923076923077,True,156
0.55,0.75,0.05,2.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5023076923076922,9.076923076923077,True,157
0.55,0.75,0.08,2.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5023076923076922,9.076923076923077,True,158
0.55,0.75,0.1,2.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5023076923076922,9.076923076923077,True,159
0.55,0.75,0.12,2.0,12.0,75.0,0.0,13,83,0.1566265060240964,0.9230769230769231,0.5023076923076922,9.076923076923077,True,160
0.55,0.6,0.05,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,161
0.55,0.6,0.08,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,162
0.55,0.6,0.1,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,163
0.55,0.6,0.12,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,164
0.55,0.65,0.05,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,165
0.55,0.65,0.08,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,166
0.55,0.65,0.1,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,167
0.55,0.65,0.12,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,168
0.55,0.7,0.05,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,169
0.55,0.7,0.08,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,170
0.55,0.7,0.1,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,171
0.55,0.7,0.12,8.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5025,10.083333333333334,True,172
0.55,0.75,0.05,4.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.505,9.583333333333334,True,173
0.55,0.75,0.08,4.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.505,9.583333333333334,True,174
0.55,0.75,0.1,4.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.505,9.583333333333334,True,175
0.55,0.75,0.12,4.0,12.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.505,9.583333333333334,True,176
0.6,0.75,0.05,6.0,10.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5366666666666667,9.083333333333334,True,177
0.6,0.75,0.08,6.0,10.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5366666666666667,9.083333333333334,True,178
0.6,0.75,0.1,6.0,10.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5366666666666667,9.083333333333334,True,179
0.6,0.75,0.12,6.0,10.0,75.0,0.0,12,83,0.14457831325301204,0.9166666666666666,0.5366666666666667,9.083333333333334,True,180
