ticker,official_side,last_remaining_min,last_distance,last_side,last_matches_official,one_min_remaining,one_min_distance,one_min_side,one_min_matches_official,final60_n,final60_mean_distance,final60_side,final60_matches_official,final90_n,final90_mean_distance,final90_side,final90_matches_official,final120_n,final120_mean_distance,final120_side,final120_matches_official
KXBTC15M-26AUG250900-00,UP,0.0366017666666666,64.88000000000466,UP,True,0.9216603666666666,26.680000000007567,UP,True,2,45.78000000000611,UP,True,2,45.78000000000611,UP,True,3,63.593333333337796,UP,True
KXBTC15M-26AUG250915-15,DOWN,0.8659887166666667,-103.30000000000292,DOWN,True,0.8659887166666667,-103.30000000000292,DOWN,True,1,-103.30000000000292,DOWN,True,1,-103.30000000000292,DOWN,True,2,-138.0350000000035,DOWN,True
KXBTC15M-26AUG250930-30,DOWN,0.6257933999999999,-188.9700000000012,DOWN,True,0.6257933999999999,-188.9700000000012,DOWN,True,1,-188.9700000000012,DOWN,True,1,-188.9700000000012,DOWN,True,2,-200.45500000000177,DOWN,True
KXBTC15M-26AUG250945-45,UP,0.0292811166666666,-49.06999999999243,DOWN,False,0.9160136833333332,27.5,UP,True,2,-10.784999999996217,DOWN,False,2,-10.784999999996217,DOWN,False,3,52.13666666667268,UP,True
KXBTC15M-26AUG251000-00,DOWN,0.8359273166666666,-104.54000000000816,DOWN,True,0.8359273166666666,-104.54000000000816,DOWN,True,1,-104.54000000000816,DOWN,True,1,-104.54000000000816,DOWN,True,2,-134.0650000000096,DOWN,True
KXBTC15M-26AUG251015-15,UP,0.2413339166666666,411.4499999999971,UP,True,1.1275000333333334,400.4700000000012,UP,True,1,411.4499999999971,UP,True,2,405.9599999999991,UP,True,2,405.9599999999991,UP,True
KXBTC15M-26AUG251030-30,UP,0.1694842333333333,233.4499999999971,UP,True,1.05849465,161.93999999998778,UP,True,1,233.4499999999971,UP,True,2,197.69499999999243,UP,True,3,197.09999999999127,UP,True
KXBTC15M-26AUG251045-45,DOWN,0.4555468666666666,-61.88000000000466,DOWN,True,1.3387043166666668,-169.02000000000407,DOWN,True,1,-61.88000000000466,DOWN,True,2,-115.45000000000437,DOWN,True,2,-115.45000000000437,DOWN,True
KXBTC15M-26AUG251100-00,UP,0.7263349,6.94999999999709,UP,True,0.7263349,6.94999999999709,UP,True,1,6.94999999999709,UP,True,1,6.94999999999709,UP,True,2,39.43000000000029,UP,True
KXBTC15M-26AUG251115-15,DOWN,0.1525335666666666,-83.69999999999709,DOWN,True,1.0380711166666667,-133.47000000000116,DOWN,True,1,-83.69999999999709,DOWN,True,2,-108.58499999999913,DOWN,True,3,-104.07333333333372,DOWN,True
